Название,Компания,Зарплата,Ссылка,Регион,Дата,Опыт работы,Территория_ВО,Категория
Водитель категории Е,КСК-групп,от 110000 руб.,https://hh.ru/vacancy/123260328,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Заместитель начальника производственно-технического управления,ВЛАДИМИРТЕПЛОГАЗ,до 90000 руб.,https://hh.ru/vacancy/123811019,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,Другое
Токарь,Гидро-система,100000-180000 руб.,https://hh.ru/vacancy/97832352,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Слесарь механосборочных работ,НПО Магнетон,50000-80000 руб.,https://hh.ru/vacancy/125306938,Владимир,15.09.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
"Ведущий инженер/Отдел метрологии, внедрения и эксплуатации автоматизированной системы учета газа",Газпром межрегионгаз,54820-60000 руб.,https://hh.ru/vacancy/125537415,Владимир,19.09.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Электромонтер по ремонту и обслуживанию электрооборудования,Владимирский завод Электроприбор,49220-49220 руб.,https://hh.ru/vacancy/126108706,Владимир,03.10.2025,Данные отсутствуют,Город Владимир,Другое
Хостес,FOG GROUP,от 35000 руб.,https://hh.ru/vacancy/122442889,Владимир,01.10.2025,Данные отсутствуют,Город Владимир,"Туризм, гостиницы, рестораны"
Оператор станков с ЧПУ,НПО Магнетон,до 80000 руб.,https://hh.ru/vacancy/125307031,Владимир,15.09.2025,Данные отсутствуют,Город Владимир,Другое
Специалист по тендерам,ЭлРос,Данные отсутствуют,https://hh.ru/vacancy/123191852,Владимир,24.09.2025,Данные отсутствуют,Город Владимир,Закупки
Специалист по охране труда,Abi,Данные отсутствуют,https://hh.ru/vacancy/124281748,Владимир,19.09.2025,Данные отсутствуют,Город Владимир,Другое
Водитель на газель,Гиоргадзе Ирина Сергеевна,55000-65000 руб.,https://hh.ru/vacancy/125613982,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Специалист по поддержке ЭТК,Abi,Данные отсутствуют,https://hh.ru/vacancy/126071672,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Юрист,Плотников Максим Вячеславович,от 80000 руб.,https://hh.ru/vacancy/125325720,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Юристы
Главный специалист-эксперт отдела строительства и приемки выполненных работ,ГБУ Владупрадор,48296-62199 руб.,https://hh.ru/vacancy/125343518,Владимир,15.09.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Секретарь/помощник руководителя,Кузин и партнеры,от 50000 руб.,https://hh.ru/vacancy/125612902,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,Административный персонал
Ведущий инженер-конструктор,Abi,Данные отсутствуют,https://hh.ru/vacancy/125146870,Владимир,10.09.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Производитель работ,Abi,Данные отсутствуют,https://hh.ru/vacancy/124451948,Владимир,24.09.2025,Данные отсутствуют,Город Владимир,Другое
Бухгалтер по расчету заработной платы,РТК,от 60000 руб.,https://hh.ru/vacancy/125581041,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Инженер-проектировщик - автоматизированные системы/информационная безопасность,ГК Системы и Технологии,70000-95000 руб.,https://hh.ru/vacancy/85686868,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Инженер-технолог,Владимирский завод Электроприбор,53000-65000 руб.,https://hh.ru/vacancy/118967220,Владимир,26.09.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Аналитик по маршрутизации,Abi,Данные отсутствуют,https://hh.ru/vacancy/125536383,Владимир,19.09.2025,Данные отсутствуют,Город Владимир,Другое
Машинист бульдозера,Монострой,от 80000 руб.,https://hh.ru/vacancy/126068099,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,Другое
Слесарь-сантехник,Abi,от 60000 руб.,https://hh.ru/vacancy/124811255,Владимир,29.09.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Экономист по тарифам в теплоснабжающую компанию,Тепло Людям,Данные отсутствуют,https://hh.ru/vacancy/125671485,Владимир,23.09.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Слесарь-электрик по ремонту автомобилей,Сельхозавтотранс,80000-80000 руб.,https://hh.ru/vacancy/124286457,Владимир,19.09.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Специалист по отбору проб,Abi,Данные отсутствуют,https://hh.ru/vacancy/125403789,Владимир,16.09.2025,Данные отсутствуют,Город Владимир,Другое
Экономист,WoodCraft,от 60000 руб.,https://hh.ru/vacancy/125764498,Владимир,25.09.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Инженер-конструктор в отдел главного технолога,ГК Системы и Технологии,от 65000 руб.,https://hh.ru/vacancy/124804316,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Слесарь-сантехник / Монтажник систем,БМТ-Сервис,70000-100000 руб.,https://hh.ru/vacancy/125702078,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Главный инженер,Эколайф,от 120000 руб.,https://hh.ru/vacancy/123103587,Владимир,12.09.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Рекрутер,Ask me solutiоns,от 50000 руб.,https://hh.ru/vacancy/125613772,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Юрист,ИНТЕР РАО ОЦО,58923-64023 руб.,https://hh.ru/vacancy/125616727,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,Юристы
Подсобник/Рабочий/Разнорабочий складских помещений на перемещение груза,Работа – это просто,от 3200 руб.,https://hh.ru/vacancy/125332951,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Маляр по металлу,Вектор,от 100000 руб.,https://hh.ru/vacancy/126107330,Ковров,03.10.2025,Данные отсутствуют,Ковровский муниципальный округ,Другое
Оператор вакуумного пресса,Владимирская Дверная Компания,от 80000 руб.,https://hh.ru/vacancy/124920229,Владимир,30.09.2025,Данные отсутствуют,Город Владимир,Другое
Специалист по охране труда,Газпром межрегионгаз,35000-39900 руб.,https://hh.ru/vacancy/126184233,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Другое
Кладовщик на оптовый склад автозапчастей,ГК Автотракт,от 65000 руб.,https://hh.ru/vacancy/121224157,Владимир,15.09.2025,Данные отсутствуют,Город Владимир,Автомобильный бизнес
Фармацевт-провизор,Алоэ,25000-45000 руб.,https://hh.ru/vacancy/125543892,Владимир,19.09.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Фармацевт - Провизор - Мед консультант (г. Владимир),Сеть аптек Апрель,от 75000 руб.,https://hh.ru/vacancy/126146959,Владимир,05.10.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Оператор швейного оборудования,Группа Компаний Аскона,от 75000 руб.,https://hh.ru/vacancy/122422059,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,Другое
"Продавец (Мира, 17)","МАГНИТ, Розничная сеть",38000-50000 руб.,https://hh.ru/vacancy/124016040,Владимир,09.09.2025,Данные отсутствуют,Город Владимир,Розничная торговля
"Старший продавец (Судогодское, 25И)","МАГНИТ, Розничная сеть",от 48800 руб.,https://hh.ru/vacancy/125766771,Владимир,25.09.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Менеджер по кредитованию и продажам (магазин электроники и бытовой техники),Директ Кредит,до 75000 руб.,https://hh.ru/vacancy/126223074,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,Добыча сырья
"Автокурьер в ""Пятерочку""",X5 Digital,до 140000 руб.,https://hh.ru/vacancy/101707953,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,Другое
Сборщик корпусной мебели,Торговый дом Лазурит,от 100000 руб.,https://hh.ru/vacancy/124642291,Владимир,08.10.2025,Данные отсутствуют,Город Владимир,Другое
Продавец-консультант ТЦ Мегаторг,Марк Формэль,от 48000 руб.,https://hh.ru/vacancy/125757608,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Инженер по качеству (контроль готовой продукции),Abi,от 65000 руб.,https://hh.ru/vacancy/126070425,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Инженер отдела обеспечения управления имущественным комплексом,ФГБОУ ВО ВЛГУ,45000-45000 руб.,https://hh.ru/vacancy/125247436,Владимир,11.09.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Врач - фтизиатр,ГБУЗ ВО Центр специализированной фтизиопульмонологической помощи,90000-115000 руб.,https://hh.ru/vacancy/126193985,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Ведущий инженер АСКУЭ,Инжиниринговый холдинг «эВ-групп»,до 100000 руб.,https://hh.ru/vacancy/124322607,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Инженер-проектировщик систем электроснабжения,Владпроект,120000-140000 руб.,https://hh.ru/vacancy/126003592,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,Закупки
Менеджер по торговле / Руководитель группы магазинов,ПРОДУКТЫ ЕРМОЛИНО,148750-208000 руб.,https://hh.ru/vacancy/125532209,Владимир,19.09.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Инженер по ремонту,Государственное бюджетное учреждение здравоохранения Владимирской области Владимирская областная станция скорой медицинской помощи,до 56500 руб.,https://hh.ru/vacancy/125875144,Владимир,29.09.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Слесарь (Механик) по ремонту автомобилей,Комкад,Данные отсутствуют,https://hh.ru/vacancy/125749081,Владимир,25.09.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Электрик,Abi,Данные отсутствуют,https://hh.ru/vacancy/126072950,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,Другое
Резчик Мясопродуктов,Abi,76000-76000 руб.,https://hh.ru/vacancy/125694222,Владимир,24.09.2025,Данные отсутствуют,Город Владимир,Другое
Помощник риэлтора,Этажи Центр,от 90000 руб.,https://hh.ru/vacancy/125360464,Владимир,15.09.2025,Данные отсутствуют,Город Владимир,Другое
Электрогазосварщик,Abi,Данные отсутствуют,https://hh.ru/vacancy/125541393,Владимир,19.09.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Мастер-консультант в автосервис,ГК Автотракт,80000-170000 руб.,https://hh.ru/vacancy/126188987,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Другое
Арматурщик (кузов автомобиля),ГК Автотракт,от 100000 руб.,https://hh.ru/vacancy/125621931,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,Другое
Экономист,Управление ЖКХ администрации города Владимира,39000-43000 руб.,https://hh.ru/vacancy/125846551,Владимир,26.09.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
"Старший продавец (Вокзальная, 3)","МАГНИТ, Розничная сеть",54900-94600 руб.,https://hh.ru/vacancy/121888014,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Помощник Директора филиала,"МАГНИТ, Розничная сеть",от 50000 руб.,https://hh.ru/vacancy/125346139,Владимир,23.09.2025,Данные отсутствуют,Город Владимир,Другое
Сборщик интернет заказов,Сеть магазинов цифровой и бытовой техники DNS,65000-80460 руб.,https://hh.ru/vacancy/120805457,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Другое
Инженер монтажного участка/электромонтажник,ГК Системы и Технологии,60000-85000 руб.,https://hh.ru/vacancy/87164589,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Кладовщик (специи),Abi,от 55000 руб.,https://hh.ru/vacancy/123436911,Владимир,28.09.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Офис-менеджер,Abi,Данные отсутствуют,https://hh.ru/vacancy/125428675,Владимир,17.09.2025,Данные отсутствуют,Город Владимир,Административный персонал
Инструктор АФК/специалист моторно-сенсорной интеграции,Первый медико-логопедический центр,от 50000 руб.,https://hh.ru/vacancy/125552940,Владимир,20.09.2025,Данные отсутствуют,Город Владимир,"Спортивные клубы, фитнес, салоны красоты"
Продавец-кассир в спортивный магазин,Триал-Спорт,от 40000 руб.,https://hh.ru/vacancy/124433046,Владимир,24.09.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Консультант первой линии,Центр финансового равновесия (ИП Крестина Любовь Дмитриевна),70000-120000 руб.,https://hh.ru/vacancy/126165717,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Другое
Менеджер по продажам,ДЖЕЙКЕТ РАБОТА,от 80000 руб.,https://hh.ru/vacancy/125100392,Владимир,09.09.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Руководитель группы специалистов (Федеральное подразделение),Филиал ГКУ Владимирской области Центр занятости населения Владимирской области Владимирский,Данные отсутствуют,https://hh.ru/vacancy/125407172,Владимир,16.09.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
"Инженер по надзору за строительством (Электрика, СС)",Abi,Данные отсутствуют,https://hh.ru/vacancy/126093893,Владимир,03.10.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Продавец-кассир,ВБ ФИКСМАРКЕТ,Данные отсутствуют,https://hh.ru/vacancy/125886755,Владимир,29.09.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Рабочий на мебельное производство,Владимирская фабрика мебели (ИП Малинкина Наталья Борисовна),65000-75000 руб.,https://hh.ru/vacancy/125606025,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,Другое
Врач-эндокринолог,ГБУЗ ВО Городская клиническая больница скорой медицинской помощи г. Владимира,35000-40000 руб.,https://hh.ru/vacancy/125314265,Владимир,15.09.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Прораб (слаботочные системы),ЭлРос,Данные отсутствуют,https://hh.ru/vacancy/123147741,Владимир,24.09.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Клиент-менеджер в медицинский центр,Группа компаний «Zalevsky Group»,от 50000 руб.,https://hh.ru/vacancy/124809385,Владимир,25.09.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Водитель погрузчика,БЭСТ-МЕБЕЛЬ,от 80000 руб.,https://hh.ru/vacancy/124934420,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Менеджер по продажам электротранспорта,Velohybrid,от 70000 руб.,https://hh.ru/vacancy/125444073,Владимир,17.09.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Директор магазина (ТЦ Мегаторг),"Elis Fashion Rus, Группа компаний",80000-82000 руб.,https://hh.ru/vacancy/125849673,Владимир,26.09.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Технолог,Abi,Данные отсутствуют,https://hh.ru/vacancy/124762828,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Электромонтажник (Владимир),Инжиниринговый холдинг «эВ-групп»,70000-80000 руб.,https://hh.ru/vacancy/124370339,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Фармацевт / провизор / аптечный консультант,"Здравсервис (Здесь Аптека, Твой Доктор)",от 68000 руб.,https://hh.ru/vacancy/118888759,Владимир,03.10.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Ассистент менеджера по работе с клиентами,ITECO,от 55000 руб.,https://hh.ru/vacancy/125901440,Владимир,29.09.2025,Данные отсутствуют,Город Владимир,Административный персонал
Разнорабочий,Самокат (ООО ИЗИ Лоджистик — партнер сервиса),140352-181728 руб.,https://hh.ru/vacancy/121967308,Владимир,25.09.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Помощник арбитражного управляющего (юрист по банкротству),Кузин и партнеры,от 90000 руб.,https://hh.ru/vacancy/125089842,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Юристы
"Сборщик заказов (Владимир, Строителей, 40)",Пятёрочка,45000-50000 руб.,https://hh.ru/vacancy/125738751,Владимир,25.09.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Шлифовщик,РОЭЛ Групп,от 80000 руб.,https://hh.ru/vacancy/120425808,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Другое
Автомеханик-шиномонтажник / Автослесарь-шиномонтажник,Колесо.ру,от 60000 руб.,https://hh.ru/vacancy/123093783,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,Автомобильный бизнес
Инженер-сметчик,Проектный институт Владимиравтодорпроект,от 75000 руб.,https://hh.ru/vacancy/126012141,Владимир,01.10.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Старший мерчандайзер (бытовая химия),ANCOR,61000-68700 руб.,https://hh.ru/vacancy/126081124,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,Другое
Курьер в быструю доставку,Хорошая Подработка,197261-208734 руб.,https://hh.ru/vacancy/126142311,Владимир,05.10.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
"Продавец-кассир в магазин Магнит (Строителей, 7Д)","МАГНИТ, Розничная сеть",42700-56900 руб.,https://hh.ru/vacancy/124009432,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Специалист по охране труда,МТС,до 59000 руб.,https://hh.ru/vacancy/125998378,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Другое
Грузчик,Владимирская Дверная Компания,от 58800 руб.,https://hh.ru/vacancy/117781921,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Разнорабочий на склад готовой продукции,БЭСТ-МЕБЕЛЬ,60000-80000 руб.,https://hh.ru/vacancy/122354984,Владимир,08.10.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Автоэлектрик (грузовой транспорт),Карго Траст,115000-115000 руб.,https://hh.ru/vacancy/122013278,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,Автомобильный бизнес
Токарь 3-4 разряда,РОЭЛ Групп,от 60000 руб.,https://hh.ru/vacancy/124174829,Владимир,18.09.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Водитель-курьер на личном автомобиле в Пятёрочку,X5 Digital,до 210000 руб.,https://hh.ru/vacancy/120484527,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Кассир/Продавец-кассир/Работник за кассу,Работа – это просто,от 3300 руб.,https://hh.ru/vacancy/125066691,Владимир,05.10.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Шлифовщик ученик,РОЭЛ Групп,от 35000 руб.,https://hh.ru/vacancy/125508282,Владимир,19.09.2025,Данные отсутствуют,Город Владимир,Другое
Специалист входного контроля,WoodCraft,от 65000 руб.,https://hh.ru/vacancy/125268146,Владимир,12.09.2025,Данные отсутствуют,Город Владимир,Другое
Главный бухгалтер/бухгалтер,ЖБИ Черноруд,Данные отсутствуют,https://hh.ru/vacancy/125691803,Владимир,24.09.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Продавец-консультант в магазин массажного оборудования,YAMAGUCHI,от 60000 руб.,https://hh.ru/vacancy/126105403,Владимир,08.10.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Техник по учету,Почта России,45000-51000 руб.,https://hh.ru/vacancy/125710764,Владимир,24.09.2025,Данные отсутствуют,Город Владимир,Другое
Ведущий библиотекарь отдела иностранной литературы,ГБУК ВО Владимирская областная библиотека для детей и молодежи,25000-28000 руб.,https://hh.ru/vacancy/124997642,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Главный специалист планово-экономического сектора,Централизованная бухгалтерия управления культуры администрации г. Владимира,от 49500 руб.,https://hh.ru/vacancy/125102413,Владимир,09.09.2025,Данные отсутствуют,Город Владимир,Другое
Конструктор корпусной мебели,БЭСТ-МЕБЕЛЬ,80000-200000 руб.,https://hh.ru/vacancy/122019961,Владимир,08.10.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Оператор гибочного станка ПУ,КВМ,от 65000 руб.,https://hh.ru/vacancy/124311893,Владимир,20.09.2025,Данные отсутствуют,Город Владимир,Другое
"Администратор в магазин Магнит (Строителей, 7Д)","МАГНИТ, Розничная сеть",61500-111500 руб.,https://hh.ru/vacancy/124009439,Владимир,29.09.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Инженер-проектировщик ВК,Проектный институт Владимиравтодорпроект,от 70000 руб.,https://hh.ru/vacancy/125938658,Владимир,30.09.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Кладовщик,Abi,Данные отсутствуют,https://hh.ru/vacancy/123437642,Владимир,28.09.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Комплектовщик,РОЭЛ Групп,до 45000 руб.,https://hh.ru/vacancy/125877161,Владимир,29.09.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Учитель математики и физики,ГАОУ ДПО ВО ВИРО,40000-55000 руб.,https://hh.ru/vacancy/125095289,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,"Наука, образование"
Бухгалтер (по учету медикаментов),ГБУЗВО Областной клинический онкологический диспансер,от 48000 руб.,https://hh.ru/vacancy/125585226,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Врач - фтизиатр участковый,ГБУЗ ВО Центр специализированной фтизиопульмонологической помощи,80000-90000 руб.,https://hh.ru/vacancy/125968726,Владимир,30.09.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Продавец-консультант в салон оптики,Оптикстайл,47000-150000 руб.,https://hh.ru/vacancy/125066945,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Диспетчер логист,"Протек, Центр Внедрения",44000-53000 руб.,https://hh.ru/vacancy/125773585,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Мерчендайзер,Abi,до 45000 руб.,https://hh.ru/vacancy/125905689,Владимир,29.09.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Ведущий юрисконсульт управления имущественных и корпоративных отношений,ВЛАДИМИРТЕПЛОГАЗ,от 60000 руб.,https://hh.ru/vacancy/120220576,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Инженер по ремонту,Муниципальное автономное учреждение Культуры Города Владимира Центр Культуры и Искусства На Соборной,40000-45000 руб.,https://hh.ru/vacancy/125613431,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Детский врач офтальмолог,Оптикстайл,от 150000 руб.,https://hh.ru/vacancy/125066979,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Менеджер по приему входящих звонков (Без продаж),Гидро-система,от 45000 руб.,https://hh.ru/vacancy/121137184,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Главный инженер проектов,ГК Системы и Технологии,100000-120000 руб.,https://hh.ru/vacancy/123516071,Владимир,29.09.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
"Продавец в салон МТС (Владимир г, Тракторная ул, 45)",Розничная сеть МТС,45000-55000 руб.,https://hh.ru/vacancy/125798919,Владимир,25.09.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Менеджер оптового отдела,БЭСТ-МЕБЕЛЬ,от 60000 руб.,https://hh.ru/vacancy/123711175,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Другое
Инструктор АФК/специалист моторно-сенсорной интеграции,Первый медико-логопедический центр,от 50000 руб.,https://hh.ru/vacancy/125552937,Владимир,20.09.2025,Данные отсутствуют,Город Владимир,"Спортивные клубы, фитнес, салоны красоты"
Водитель-курьер посылок со склада (свой автомобиль),"Работа-Подработка: Курьер, Кладовщик, Сборщик",110000-220000 руб.,https://hh.ru/vacancy/125567055,Владимир,21.09.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Токарь-карусельщик,РОЭЛ Групп,от 120000 руб.,https://hh.ru/vacancy/120426669,Владимир,06.10.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Сборщик мебели,Владимирская фабрика мебели (ИП Малинкина Наталья Борисовна),70000-80000 руб.,https://hh.ru/vacancy/124370090,Владимир,03.10.2025,Данные отсутствуют,Город Владимир,Другое
Главный специалист службы по работе с проблемной задолженностью физических лиц,Россельхозбанк,до 70000 руб.,https://hh.ru/vacancy/126226752,Владимир,07.10.2025,Данные отсутствуют,Город Владимир,Другое
Инженер-конструктор,ГК Системы и Технологии,60000-80000 руб.,https://hh.ru/vacancy/91518757,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Кладовщик,М.Видео-Эльдорадо,45000-58000 руб.,https://hh.ru/vacancy/125971553,Владимир,30.09.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Экономист по труду и заработной плате,Государственное бюджетное учреждение здравоохранения Владимирской области Владимирская областная станция скорой медицинской помощи,до 50000 руб.,https://hh.ru/vacancy/125848473,Владимир,26.09.2025,Данные отсутствуют,Город Владимир,"Финансы, бухгалтерия"
Ведущий специалист по учету,Abi,Данные отсутствуют,https://hh.ru/vacancy/126093321,Владимир,03.10.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Водитель-курьер в Пятёрочку,X5 Digital,до 210000 руб.,https://hh.ru/vacancy/124550771,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Монтажник сетевого оборудования / Младший системный администратор,БМТ-Сервис,50000-100000 руб.,https://hh.ru/vacancy/125420614,Владимир,17.09.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Методист образовательных программ в колледж,ГБПОУ ВО Владимирский химико-механический колледж,23000-40000 руб.,https://hh.ru/vacancy/125726456,Владимир,24.09.2025,Данные отсутствуют,Город Владимир,"Наука, образование"
Автокурьер в Пятёрочку,X5 Digital,до 210000 руб.,https://hh.ru/vacancy/125939496,Владимир,30.09.2025,Данные отсутствуют,Город Владимир,Другое
Сотрудник торгового зала (ул. Полины Осипенко),"Бристоль, сеть магазинов",от 25850 руб.,https://hh.ru/vacancy/125938320,Владимир,30.09.2025,Данные отсутствуют,Город Владимир,Другое
Водитель автобуса ПАЗ кат. D,Монострой,от 45000 руб.,https://hh.ru/vacancy/125099831,Владимир,02.10.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Электрогазосварщик,Abi,Данные отсутствуют,https://hh.ru/vacancy/125536771,Владимир,19.09.2025,Данные отсутствуют,Город Владимир,Добыча сырья
Уборщик территорий,ГБУЗ ВО Центр специализированной фтизиопульмонологической помощи,22400-32000 руб.,https://hh.ru/vacancy/125968052,Владимир,30.09.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
Кладовщик-водитель погрузчика,Форвард,60000-80000 руб.,https://hh.ru/vacancy/125502347,Владимир,18.09.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Продавец-кассир (ул. Вокзальная),"Бристоль, сеть магазинов",57000-63000 руб.,https://hh.ru/vacancy/125590016,Владимир,22.09.2025,Данные отсутствуют,Город Владимир,Розничная торговля
Врач-дерматовенеролог/Врач-дерматолог,Группа компаний «Zalevsky Group»,от 150000 руб.,https://hh.ru/vacancy/125833797,Владимир,26.09.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
