Название,Компания,Зарплата,Ссылка,Регион,Дата,Опыт работы,Территория_ВО,Категория
Инженер-технолог,НПО Магнетон,Данные отсутствуют,https://hh.ru/vacancy/109854132,Владимир,30.05.2025,Данные отсутствуют,Город Владимир,"Производство, сервисное обслуживание"
Оператор call-центра (в офис),Эколайф,50000-65000 руб.,https://hh.ru/vacancy/120688290,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Программист 1С,Гидро-система,от 160000 руб.,https://hh.ru/vacancy/107176669,Владимир,02.06.2025,Данные отсутствуют,Город Владимир,Информационные технологии
Ведущий инженер,Владимирский завод Электроприбор,40000-40000 руб.,https://hh.ru/vacancy/119123907,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Старший специалист по кадрам (со знанием английского языка),Altenar,Данные отсутствуют,https://hh.ru/vacancy/121008198,Владимир,27.05.2025,Данные отсутствуют,Город Владимир,"Управление персоналом, тренинги"
Акушерка / Медицинская сестра (Акушер / медицинский брат),Клиника Доктора Коровина,от 35000 руб.,https://hh.ru/vacancy/121593844,Владимир,11.06.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Мастер участка,Abi,от 93000 руб.,https://hh.ru/vacancy/119633479,Владимир,09.06.2025,Данные отсутствуют,Город Владимир,Другое
Уборщик служебных помещений,Владимирский завод Электроприбор,11987-11987 руб.,https://hh.ru/vacancy/117482741,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,"Домашний, обслуживающий персонал"
Разнорабочий,Прогрессор,91520-91520 руб.,https://hh.ru/vacancy/120977250,Ковров,26.05.2025,Данные отсутствуют,Ковровский муниципальный округ,Рабочий персонал
Слесарь по обслуживанию вентиляции,Гарсак Газ,65000-100000 руб.,https://hh.ru/vacancy/121034781,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Водитель-экспедитор на личном автомобиле в транспортно - логистическую компанию,"Работа-Подработка: Курьер, Кладовщик, Сборщик",89000-180000 руб.,https://hh.ru/vacancy/121441249,Владимир,08.06.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Автожестянщик в автосервис LADA,Автоцентр-Владимир на Рокадной,от 70000 руб.,https://hh.ru/vacancy/121682203,Владимир,16.06.2025,Данные отсутствуют,Город Владимир,Другое
